Steps,Policy/Entropy,Environment/Lesson/lessonID,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Environment/Episode Length,Is Training
62100,-3.3949258,0.0,203.35616,-0.18330145,73.68462562561035,73.68462562561035,0.0086303120770026,49.0,1.0
62200,-4.0749707,0.0,-7.8431015,-0.122517064,-44.67211437225342,-44.67211437225342,0.002390422683674842,49.0,1.0
62300,-3.7676246,0.0,187.0773,-0.19070034,51.588388442993164,51.588388442993164,0.010600849753245711,49.0,1.0
62400,-4.3359756,0.0,18.193718,-0.2295054,-39.793129444122314,-39.793129444122314,0.0024624508805572987,49.0,1.0
62500,-3.2581823,0.0,110.946884,-0.19281368,19.884830474853516,19.884830474853516,0.006511857267469168,49.0,1.0
62600,-3.937516,0.0,180.85315,-0.17123827,49.167115688323975,49.167115688323975,0.00063859554938972,49.0,1.0
62700,-4.8876715,0.0,207.63986,-0.12263164,86.25336837768555,86.25336837768555,0.0005078053363831714,49.0,1.0
62800,-3.232247,0.0,35.479088,-0.27723533,-2.9234390258789062,-2.9234390258789062,0.001653938612435013,49.0,1.0
62900,-3.4597058,0.0,200.9888,-0.19750974,87.341064453125,87.341064453125,0.007595800561830401,49.0,1.0
63000,-3.4024508,0.0,201.14722,-0.2275498,64.05745124816895,64.05745124816895,0.0016981320804916322,49.0,1.0
63100,-6.65405,0.0,8.021233,-0.2677157,-14.570556640625,-14.570556640625,0.028747373959049582,49.0,1.0
63200,-2.8777237,0.0,29.649822,-0.15665814,-38.16775131225586,-38.16775131225586,0.00038734646659577265,49.0,1.0
63300,-3.498148,0.0,119.906715,-0.1574879,19.341468811035156,19.341468811035156,0.0014277479494921863,49.0,1.0
63400,-3.1864114,0.0,170.29953,-0.18769324,10.197057723999023,10.197057723999023,0.0010813150147441775,49.0,1.0
63500,-4.020964,0.0,79.26825,-0.2212404,6.428768157958984,6.428768157958984,0.00031899874738883227,49.0,1.0
63600,-5.1082163,0.0,35.413498,-0.24267079,-26.138996124267578,-26.138996124267578,0.00021670963178621605,49.0,1.0
63700,-3.350733,0.0,181.78357,-0.19184741,13.388983011245728,13.388983011245728,0.0003263211328885518,49.0,1.0
63800,-3.6761537,0.0,195.29459,-0.19530383,22.057350158691406,22.057350158691406,0.00029859132337151095,49.0,1.0
63900,-4.1459455,0.0,178.65125,-0.20077801,15.161690950393677,15.161690950393677,0.00015524201808148064,49.0,1.0
64000,-3.046545,0.0,25.527939,-0.26116994,-9.671157836914062,-9.671157836914062,0.004824396120966412,49.0,1.0
64100,-3.4190826,0.0,99.28492,-0.1782191,13.813976287841797,13.813976287841797,0.0032203347655013204,49.0,1.0
64200,-3.5207343,0.0,-36.616467,-0.1814588,-64.94800186157227,-64.94800186157227,0.0005628802318824455,49.0,1.0
64300,-3.2931871,0.0,80.0318,-0.17999898,4.4030609130859375,4.4030609130859375,0.002519155794288963,49.0,1.0
64400,-3.352086,0.0,198.5408,-0.21016416,48.192237854003906,48.192237854003906,0.0020651400554925203,49.0,1.0
64500,-4.3541346,0.0,24.531975,-0.2643434,1.6952095031738281,1.6952095031738281,0.0005984997842460871,49.0,1.0
